zip_code,infection_score
97527,10
97225,7
97520,Not Available
97227,8
97239,2
97339,7
97210,0
97504,0
97477,10
97123,Not Available
97321,Not Available
97030,0
97470,10
97381,Not Available
97401,Not Available
97132,Not Available
97045,Not Available
97701,Not Available
97701,1
97601,Not Available
97301,2
97914,Not Available
97383,Not Available
97216,10
97213,4
97128,Not Available
97504,10
97222,Not Available
97062,10
97420,Not Available
97015,6
97477,2
97124,0
18510,0
15132,3
17815,Not Available
17011,10
17822,8
16117,Not Available
16544,6
19446,0
17837,Not Available
16105,10
18071,Not Available
19118,10
19140,4
15219,1
17901,3
17901,Not Available
15065,Not Available
18951,Not Available
15009,10
15143,10
15501,Not Available
15401,0
15301,0
16901,Not Available
19611,0
17701,0
17403,0
17044,Not Available
18015,0
15212,0
16830,Not Available
16652,Not Available
18960,10
17015,Not Available
17604,Not Available
16673,Not Available
16550,2
17325,Not Available
17042,10
17105,4
17543,Not Available
19007,Not Available
17745,Not Available
18603,Not Available
16601,2
19320,1
18840,0
19111,10
19026,10
17801,Not Available
15801,0
15224,0
16346,10
16214,Not Available
19605,0
19046,0
17602,1
17403,0
15215,6
15237,0
15905,0
19104,0
15963,Not Available
16335,6
15213,10
19114,5
19401,6
15537,Not Available
16701,Not Available
18510,0
19464,0
18431,Not Available
19460,10
18105,0
18764,4
17268,Not Available
19010,6
19141,6
15601,1
16365,Not Available
15063,2
15370,Not Available
17201,0
19301,10
19023,0
15136,Not Available
15317,Not Available
18042,10
16201,Not Available
15213,2
16001,10
15701,10
19107,2
16125,8
19380,10
19013,10
18218,Not Available
15425,Not Available
18201,0
18657,Not Available
18235,Not Available
19096,5
18102,10
16509,10
15767,Not Available
18301,10
18901,5
19152,0
16146,10
15666,Not Available
15650,10
19390,Not Available
